ShipmentID,Origin,Destination,Distance,Mode,Weather,Traffic,DepartureTime,Delay
S0001,Kolkata,Chennai,1591,Rail,Rain,High,13:44,102
S0002,Mumbai,Chennai,1886,Flight,Storm,Medium,12:59,164
S0003,Hyderabad,Chennai,2383,Flight,Rain,Low,04:43,65
S0004,Pune,Mumbai,1883,Rail,Storm,Medium,09:35,149
S0005,Chennai,Pune,876,Rail,Clear,Low,00:26,19
S0006,Hyderabad,Ahmedabad,1541,Rail,Rain,Medium,23:47,75
S0007,Hyderabad,Pune,535,Truck,Storm,Low,10:05,88
S0008,Hyderabad,Coimbatore,2437,Flight,Clear,Medium,15:28,43
S0009,Pune,Coimbatore,1424,Truck,Clear,High,19:23,114
S0010,Erode,Kolkata,159,Truck,Rain,Low,01:50,36
S0011,Ahmedabad,Mumbai,570,Rail,Rain,Low,03:44,44
S0012,Mumbai,Hyderabad,1448,Rail,Clear,High,15:23,96
S0013,Ahmedabad,Pune,1676,Truck,Clear,Low,05:42,42
S0014,Hyderabad,Delhi,331,Flight,Clear,High,05:36,62
S0015,Bangalore,Pune,1106,Rail,Storm,Low,13:20,113
S0016,Hyderabad,Erode,2372,Flight,Clear,Medium,22:35,78
S0017,Ahmedabad,Kolkata,2175,Flight,Fog,Medium,17:49,110
S0018,Chennai,Pune,876,Rail,Clear,Low,17:08,11
S0019,Bangalore,Kolkata,1033,Rail,Storm,High,08:37,194
S0020,Chennai,Coimbatore,1349,Rail,Storm,High,07:57,158
S0021,Erode,Ahmedabad,853,Rail,Clear,Low,04:52,8
S0022,Mumbai,Chennai,1886,Flight,Fog,High,02:19,109
S0023,Bangalore,Delhi,991,Rail,Rain,Medium,08:03,65
S0024,Coimbatore,Hyderabad,2401,Rail,Fog,High,07:13,174
S0025,Coimbatore,Kolkata,301,Truck,Rain,Low,18:39,31
S0026,Mumbai,Hyderabad,169,Truck,Clear,High,23:44,88
S0027,Hyderabad,Mumbai,1448,Rail,Clear,High,11:05,93
S0028,Chennai,Erode,1920,Truck,Rain,High,06:29,105
S0029,Kolkata,Mumbai,984,Truck,Rain,Medium,20:28,72
S0030,Erode,Bangalore,916,Flight,Clear,Low,03:55,0
S0031,Mumbai,Kolkata,1803,Rail,Rain,Medium,08:18,105
S0032,Coimbatore,Erode,2211,Flight,Fog,Low,15:39,70
S0033,Hyderabad,Chennai,1230,Rail,Clear,Medium,18:48,72
S0034,Bangalore,Pune,2173,Truck,Storm,Medium,17:44,189
S0035,Hyderabad,Pune,535,Truck,Rain,Medium,09:50,40
S0036,Coimbatore,Erode,2211,Flight,Rain,Medium,09:09,93
S0037,Hyderabad,Erode,2372,Flight,Storm,Low,17:58,190
S0038,Mumbai,Chennai,1886,Flight,Storm,Medium,10:05,179
S0039,Kolkata,Delhi,146,Truck,Clear,High,10:18,90
S0040,Erode,Pune,2244,Rail,Rain,High,19:38,122
S0041,Hyderabad,Coimbatore,2080,Truck,Rain,High,04:18,100
