Distance,Delay,Hour,Is_Peak_Hour,Risk_Label,Origin_Bangalore,Origin_Chennai,Origin_Coimbatore,Origin_Delhi,Origin_Erode,Origin_Hyderabad,Origin_Kolkata,Origin_Mumbai,Origin_Pune,Destination_Bangalore,Destination_Chennai,Destination_Coimbatore,Destination_Delhi,Destination_Erode,Destination_Hyderabad,Destination_Kolkata,Destination_Mumbai,Destination_Pune,Mode_Rail,Mode_Truck,Weather_Fog,Weather_Rain,Weather_Storm,Traffic_Low,Traffic_Medium,Distance_Bucket_Medium,Distance_Bucket_Long
1591,102,13,0,Moderate Delay,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
1886,164,12,0,High Delay,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True
2383,65,4,0,Moderate Delay,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True
1883,149,9,1,High Delay,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True
876,19,0,0,On-Time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False
1541,75,23,0,Moderate Delay,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True
535,88,10,1,Moderate Delay,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,True,False
2437,43,15,0,Moderate Delay,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
1424,114,19,1,Moderate Delay,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
159,36,1,0,Moderate Delay,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False
570,44,3,0,Moderate Delay,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False
1448,96,15,0,Moderate Delay,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
1676,42,5,0,Moderate Delay,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True
331,62,5,0,Moderate Delay,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1106,113,13,0,Moderate Delay,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,True,False
2372,78,22,0,Moderate Delay,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True
